Я буду любить?;Will I love?;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/will_i_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/will_i_love.mp3
Ты будешь любить;You will love;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/you_will_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/you_will_love.mp3
Мы не будем любить;We will not love;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/we_wont_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/we_wont_love.mp3
Они любят?;Do they love?;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/do_they_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/do_they_love.mp3
Он любит;He loves;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/he_loves_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/he_loves.mp3
Она не любит;She doesn`t love;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/she_does_not_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/she_does_not_love.mp3
Ты любил?;Did you love?;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/did_you_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/did_you_love.mp3
Я любил;I loved;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/i_loved_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/i_loved.mp3
Он не любил;He did not love;любить;to love (loved);assets/sounds/simple_tenses_sounds/to_love_sounds/he_didnt_love_ru.mp3;assets/sounds/simple_tenses_sounds/to_love_sounds/he_didnt_love.mp3
Ты скажешь?;Will you say?;говорить;to say (said, said)
Мы скажем;We will say;говорить;to say (said, said)
Они не скажут;They will not say;говорить;to say (said, said)
Ты сказал?;Did you say?;говорить;to say (said, said)
Она сказала;She said;говорить;to say (said, said)
Ты не сказал;You didn`t say;говорить;to say (said, said)
У меня будет? (Я буду иметь?);Will I have?;иметь;to have (had, had)
У тебя будет (Ты будешь иметь);You will have;иметь;to have (had, had)
У нас не будет (Мы не будем иметь);We will not have;иметь;to have (had, had)
У них есть? (Они имеют?);Do they have?;иметь;to have (had, had)
У него есть (Он имеет);He has;иметь;to have (had, had)
У нее нет (Она не имеет);She doesn`t have;иметь;to have (had, had)
У тебя был? (Ты имел? );Did you have?;иметь;to have (had, had)
У меня был (Я имел);I had;иметь;to have (had, had)
У него не было (Он не имел);He didn`t have;иметь;to have (had, had)
Мы будем делать? ;Will we do?;делать;to do (did, done)
Ты будешь делать;You will do;делать;to do (did, done)
Она делает;She does;делать;to do (did, done)
Я не делаю;I don`t do;делать;to do (did, done)
Они не будут делать;They won't do;делать;to do (did, done)
Он делает? ;Does he do?;делать;to do (did, done)
Ты делаешь? ;Do you do?;делать;to do (did, done)
Она делала;She did;делать;to do (did, done)
Ты не делал;You didn`t do;делать;to do (did, done)
Я пойду? (Я буду идти?) ;Will I go?;идти;to go (went, gone)
Ты пойдешь (Ты будешь идти);You will go;идти;to go (went, gone)
Мы не пойдем (Мы не будем идти);We won`t go;идти;to go (went, gone)
Они идут? ;Do they go?;идти;to go (went, gone)
Он идет;He goes;идти;to go (went, gone)
Она не идет;She doesn`t go;идти;to go (went, gone)
Ты ходил? ;Did you go?;идти;to go (went, gone)
Я ходил;I went;идти;to go (went, gone)
Он не ходил;He didn`t go;идти;to go (went, gone)
Мы получим? (Мы будем получать?) ;Will we get?;получать;to get (got, got/gotten)
Ты получишь (Ты будешь получать);You will get;получать;to get (got, got/gotten)
Она получает;She gets;получать;to get (got, got/gotten)
Я не получаю;I don't get;получать;to get (got, got/gotten)
Они не получат (Они не будут получать);They won't get;получать;to get (got, got/gotten)
Он получает? ;Does he get?;получать;to get (got, got/gotten)
Ты получаешь? ;Do you get?;получать;to get (got, got/gotten)
Она получала;She got;получать;to get (got, got/gotten)
Ты не получал;You didn't get;получать;to get (got, got/gotten)
Ты узнаешь? (Ты будешь знать?) ;Will you know?;знать;to know (knew, known)
Мы узнаем (Мы будем знать);We will know;знать;to know (knew, known)
Они не узнают (Они не будут знать);They will not know;знать;to know (knew, known)
Он знал? ;Did he know?;знать;to know (knew, known)
Она знает;She knows;знать;to know (knew, known)
Я не знаю;I don't know;знать;to know (knew, known)
Ты знал? ;Did you know?;знать;to know (knew, known)
Она знала;She knew;знать;to know (knew, known)
Ты не знал;You didn't know;знать;to know (knew, known)
Я буду думать;I will think;думать;to think (thought, thought)
Ты будешь думать?;Will you think?;думать;to think (thought, thought)
Мы не будем думать;We will not think;думать;to think (thought, thought)
Они думают? ;Do they think?;думать;to think (thought, thought)
Он думает;He thinks;думать;to think (thought, thought)
Она не думает;She doesn't think;думать;to think (thought, thought)
Ты думал? ;Did you think?;думать;to think (thought, thought)
Я думал;I thought;думать;to think (thought, thought)
Он не думал;He didn't think;думать;to think (thought, thought)
Мы возьмем? (Мы будем брать?) ;Will we take?;брать;to take (took, taken)
Ты возьмешь (Ты будешь брать);You will take;брать;to take (took, taken)
Она берет;She takes;брать;to take (took, taken)
Я не беру;I don't take;брать;to take (took, taken)
Они не возьмут (Они не будут брать);They won't take;брать;to take (took, taken)
Он берет? ;Does he take?;брать;to take (took, taken)
Ты берешь? ;Do you take?;брать;to take (took, taken)
Она брала;She took;брать;to take (took, taken)
Ты не брал;You didn't take;брать;to take (took, taken)
Ты увидишь? (Ты будешь видеть?) ;Will you see?;видеть;to see (saw, seen)
Мы увидим (Мы будем видеть);We will see;видеть;to see (saw, seen)
Они не увидят (Они не будут видеть);They won't see;видеть;to see (saw, seen)
Он видел? ;Did he see?;видеть;to see (saw, seen)
Она видит;She sees;видеть;to see (saw, seen)
Я не вижу;I don't see;видеть;to see (saw, seen)
Ты видел? ;Did you see?;видеть;to see (saw, seen)
Она видела;She saw;видеть;to see (saw, seen)
Ты не видел;You didn't see;видеть;to see (saw, seen)
Ты придешь?  ;Will you come?;приходить;to come (came, come)
Я приду ;I will come;приходить;to come (came, come)
Мы не придем ;We won't come;приходить;to come (came, come)
Они приходят? ;Do they come?;приходить;to come (came, come)
Он приходит;He comes;приходить;to come (came, come)
Она не приходит;She doesn't come;приходить;to come (came, come)
Ты приходил? ;Did you come?;приходить;to come (came, come)
Я приходил;I came;приходить;to come (came, come)
Он не приходил;He didn't come;приходить;to come (came, come)
Мы будем хотеть;We will want?;хотеть;to want (wanted)
Ты будешь хотеть?;Will you want;хотеть;to want (wanted)
Она хочет;She wants;хотеть;to want (wanted)
Я не хочу;I don't want;хотеть;to want (wanted)
Они не будут хотеть;They won't want;хотеть;to want (wanted)
Он хочет;He wants;хотеть;to want (wanted)
Ты хочешь? ;Do you want?;хотеть;to want (wanted)
Она хотела;She wanted;хотеть;to want (wanted)
Ты не хотел;You didn't want;хотеть;to want (wanted)
Ты будешь использовать? ;Will you use?;использовать;to use (used)
Мы будем использовать;We will use;использовать;to use (used)
Они не будут использовать;They won't use;использовать;to use (used)
Он использовал? ;Did he use?;использовать;to use (used)
Она использует;She uses;использовать;to use (used)
Я не использую;I don't use;использовать;to use (used)
Ты использовал? ;Did you use?;использовать;to use (used)
Она использовала;She used;использовать;to use (used)
Ты не использовал;You didn't use;использовать;to use (used)
Я найду (Я буду находить) ;I will find;находить;to find (found, found)
Ты найдешь? (Ты будешь находить);Will you find?;находить;to find (found, found)
Мы не найдем (Мы не будем находить);We won't find;находить;to find (found, found)
Они находят? ;Do they find?;находить;to find (found, found)
Он находит;He finds;находить;to find (found, found)
Она не находит;She doesn't find;находить;to find (found, found)
Ты находил? ;Did you find?;находить;to find (found, found)
Я находил;I found;находить;to find (found, found)
Он не находил;He didn't find;находить;to find (found, found)
Мы дадим (Мы будем давать) ;We will give;давать;to give (gave, given)
Ты дашь? (Ты будешь давать?);Will you give?;давать;to give (gave, given)
Она дает;She gives;давать;to give (gave, given)
Я не даю;I don't give;давать;to give (gave, given)
Они не дадут (Они не будут давать);They won't give;давать;to give (gave, given)
Он дает? ;Does he give?;давать;to give (gave, given)
Ты даешь? ;Do you give?;давать;to give (gave, given)
Она давала;She gave;давать;to give (gave, given)
Ты не давал;You didn't give;давать;to give (gave, given)
Ты будешь рассказывать? ;Will you tell?;рассказывать;to tell (told, told)
Мы будем рассказывать;We will tell;рассказывать;to tell (told, told)
Они не будут рассказывать;They will not tell;рассказывать;to tell (told, told)
Он рассказывал? ;Did he tell?;рассказывать;to tell (told, told)
Она рассказывает;She tells;рассказывать;to tell (told, told)
Я не рассказываю;I don't tell;рассказывать;to tell (told, told)
Ты рассказывал? ;Did you tell?;рассказывать;to tell (told, told)
Она рассказывала;She told;рассказывать;to tell (told, told)
Ты не рассказывал;You didn't tell;рассказывать;to tell (told, told)
Он не работал;He didn't work;работать;to work (worked)
Я работал;I worked;работать;to work (worked)
Ты работал? ;Did you work?;работать;to work (worked)
Она не работает;She doesn't work;работать;to work (worked)
Он работает;He works;работать;to work (worked)
Они работают? ;Do they work?;работать;to work (worked)
Мы не будем работать;We won't work;работать;to work (worked)
Ты будешь работать;You will work;работать;to work (worked)
Я буду работать? ;Will I work?;работать;to work (worked)
Ты не звонил;You didn't call;звонить;to call (called)
Она звонила;She called;звонить;to call (called)
Ты звонил? ;Did you call?;звонить;to call (called)
Он звонил? ;Did he call?;звонить;to call (called)
Они не позвонят (Они не будут звонить);They won't call;звонить;to call (called)
Я не звоню;I don't call;звонить;to call (called)
Она звонит;She calls;звонить;to call (called)
Ты позвонишь (Ты будешь звонить);You will call;звонить;to call (called)
Мы позвоним? (Мы будем звонить?) ;Will we call?;звонить;to call (called)
Ты не пытался;You didn't try;пытаться;to try (tried)
Она пыталась;She tried;пытаться;to try (tried)
Ты пытался? ;Did you try?;пытаться;to try (tried)
Я не пытаюсь;I don't try;пытаться;to try (tried)
Она пытается;She tries;пытаться;to try (tried)
Он пытался? ;Did he try?;пытаться;to try (tried)
Они не попытаются (Они не будут пытаться);They won't try;пытаться;to try (tried)
Мы попытаемся? (Мы будем пытаться);Will we try?;пытаться;to try (tried)
Ты попытаешься? (Ты будешь пытаться?) ;Will you try?;пытаться;to try (tried)
Он не просил;He didn't ask;просить;to ask (asked)
Я просил;I asked;просить;to ask (asked)
Ты просил? ;Did you ask?;просить;to ask (asked)
Она не просит;She doesn't ask;просить;to ask (asked)
Он просит;He askes;просить;to ask (asked)
Они просят? ;Do they ask?;просить;to ask (asked)
Мы не будем просить;We won't ask;просить;to ask (asked)
Ты будешь просить;You will ask;просить;to ask (asked)
Я буду просить? ;Will I ask?;просить;to ask (asked)
Ты не  нуждался;You didn't need;нуждаться;to need (needed)
Она нуждалась;She needed;нуждаться;to need (needed)
Ты нуждаешься? ;Do you need?;нуждаться;to need (needed)
Он нуждается? ;Does he need?;нуждаться;to need (needed)
Они не будут нуждаться;They won't need;нуждаться;to need (needed)
Я не нуждаюсь;I don't need;нуждаться;to need (needed)
Она нуждается;She needs;нуждаться;to need (needed)
Ты будешь нуждаться;You will need;нуждаться;to need (needed)
Мы будем нуждаться? ;Will we need?;нуждаться;to need (needed)
Ты не чувствовал;You didn't feel;чувствовать;to feel (felt, felt)
Она чувствовала;She felt;чувствовать;to feel (felt, felt)
Ты чувствовал? ;Did you feel?;чувствовать;to feel (felt, felt)
Я не чувствую;I don't feel;чувствовать;to feel (felt, felt)
Она чувствует;She feels;чувствовать;to feel (felt, felt)
Он чувствовал? ;Did he feel?;чувствовать;to feel (felt, felt)
Они не почувствуют (Они не будут чувствовать);They won't feel;чувствовать;to feel (felt, felt)
Мы почувствуем (Мы будем чувствовать);We will feel;чувствовать;to feel (felt, felt)
Ты почувствуешь? (Ты будешь чувствовать?) ;Will you feel?;чувствовать;to feel (felt, felt)
Я стану? (Я буду становиться?) ;Will I become?;становиться;to become (became, become)
Ты станешь (Ты будешь становиться);You will become;становиться;to become (became, become)
Мы не станем (Мы не будем становиться);We won't become;становиться;to become (became, become)
Они становятся? ;Do they become?;становиться;to become (became, become)
Он становится;He becomes;становиться;to become (became, become)
Она не становится;She doesn't become;становиться;to become (became, become)
Ты становился? ;Did you become?;становиться;to become (became, become)
Я становился;I became;становиться;to become (became, become)
Он не становился;He didn't become;становиться;to become (became, become)
Мы будем оставлять? ;Will we leave?;оставлять;to leave (left, left)
Ты будешь оставлять;You will leave;оставлять;to leave (left, left)
Она оставляет;She leaves;оставлять;to leave (left, left)
Я не оставляю;I don't leave;оставлять;to leave (left, left)
Они не будут оставлять;They won't leave;оставлять;to leave (left, left)
Он оставляет? ;Does he leave?;оставлять;to leave (left, left)
Ты оставляешь? ;Do you leave?;оставлять;to leave (left, left)
Она оставляла;She left;оставлять;to leave (left, left)
Ты не оставлял;You didn't leave;оставлять;to leave (left, left)
Ты поставишь? (Ты будешь ставить?) ;Will you put?;ставить;to put (put, put)
Мы поставим (Мы будем ставить);We will put;ставить;to put (put, put)
Они не поставят (Они не будут ставить);They won't put;ставить;to put (put, put)
Он ставил? ;Did he put?;ставить;to put (put, put)
Она ставит;She puts;ставить;to put (put, put)
Я не ставлю;I don't put;ставить;to put (put, put)
Ты ставил? ;Did you put?;ставить;to put (put, put)
Она ставила;She put;ставить;to put (put, put)
Ты не ставил;You didn't put;ставить;to put (put, put)
Он не значил;He didn't mean;значить;to mean (meant, meant)
Я значил;I meant;значить;to mean (meant, meant)
Ты значил? ;Did you mean?;значить;to mean (meant, meant)
Она не значит;She doesn't mean;значить;to mean (meant, meant)
Он значит;He means;значить;to mean (meant, meant)
Они значат? ;Do they mean?;значить;to mean (meant, meant)
Мы не будем значить;We won't mean;значить;to mean (meant, meant)
Ты будешь значить;You will mean;значить;to mean (meant, meant)
Я буду значить? ;Will I mean?;значить;to mean (meant, meant)
Ты не хранил;You didn't keep;хранить;to keep (kept, kept)
Она хранила;She kept;хранить;to keep (kept, kept)
Ты хранишь? ;Do you keep?;хранить;to keep (kept, kept)
Он хранит? ;Does he keep?;хранить;to keep (kept, kept)
Они не будут хранить;They won't keep;хранить;to keep (kept, kept)
Я не храню;I don't keep;хранить;to keep (kept, kept)
Она хранит;She keeps;хранить;to keep (kept, kept)
Ты будешь хранить;You will keep;хранить;to keep (kept, kept)
Мы будем хранить? ;Will we keep?;хранить;to keep (kept, kept)
Ты не позволял;You didn't let;позволять;to let (let, let)
Она позволяла;She let;позволять;to let (let, let)
Ты позволял? ;Did you let?;позволять;to let (let, let)
Я не позволю;I won't let;позволять;to let (let, let)
Она позволяет;She lets;позволять;to let (let, let)
Он позволял? ;Did he let?;позволять;to let (let, let)
Они не позволят (Они не будут позволять);They won't let;позволять;to let (let, let)
Мы позволим (Мы будем позволять);We will let;позволять;to let (let, let)
Ты позволишь? (Ты будешь позволять?) ;Will you let?;позволять;to let (let, let)
Я начну? (Я буду начинать?);Will I begin?;начинать;to begin (began, begun)
Ты начнешь (Ты будешь начинать);You will begin;начинать;to begin (began, begun)
Мы не начнем (Мы не будем начинать);We won't begin;начинать;to begin (began, begun)
Они начинают? ;Do they begin?;начинать;to begin (began, begun)
Он начинает;He begins;начинать;to begin (began, begun)
Она не начинает;She doesn't begin;начинать;to begin (began, begun)
Ты начинал? ;Did you begin?;начинать;to begin (began, begun)
Я начинал;I began;начинать;to begin (began, begun)
Он не начинал;He didn't begin;начинать;to begin (began, begun)
Мы будем казаться? ;Will we seem?;казаться;to seem (seemed)
Ты будешь казаться;You will seem;казаться;to seem (seemed)
Она кажется;She seems;казаться;to seem (seemed)
Я не кажусь;I don't seem;казаться;to seem (seemed)
Они не будут казаться;They won't seem;казаться;to seem (seemed)
Он кажется? ;Does he seem?;казаться;to seem (seemed)
Ты кажешься;You seem;казаться;to seem (seemed)
Она казалась;She seemed;казаться;to seem (seemed)
Ты не казался;You didn't seem;казаться;to seem (seemed)
Ты будешь помогать? ;Will you help?;помогать;to help (helped)
Мы будем помогать;We will help;помогать;to help (helped)
Они не будут помогать;They won't help;помогать;to help (helped)
Он помогал? ;Did he help?;помогать;to help (helped)
Она помогает;She helps;помогать;to help (helped)
Я не помогаю;I don't help;помогать;to help (helped)
Ты помогал? ;Did you help?;помогать;to help (helped)
Она помогала;She helped;помогать;to help (helped)
Ты не помогал;You didn't help;помогать;to help (helped)
Он не показывал;He didn't show;показывать;to show (showed, shown)
Я показывал;I showed;показывать;to show (showed, shown)
Ты показывал? ;Did you show?;показывать;to show (showed, shown)
Она не показывает;She doesn't show;показывать;to show (showed, shown)
Он показывает;He shows;показывать;to show (showed, shown)
Они показывают? ;Do they show?;показывать;to show (showed, shown)
Мы не покажем (Мы не будем показывать);We won't show;показывать;to show (showed, shown)
Ты покажешь? (Ты будешь показывать?);Will you show?;показывать;to show (showed, shown)
Я покажу (Я буду показывать) ;I will show;показывать;to show (showed, shown)
Ты не слышал;You didn't hear;слышать;to hear (heard, heard)
Она слышала;She heard;слышать;to hear (heard, heard)
Ты слышишь? ;Do you hear?;слышать;to hear (heard, heard)
Он слышит? ;Does he hear?;слышать;to hear (heard, heard)
Они не будут слышать;They won't hear;слышать;to hear (heard, heard)
Я не слышу;I don't hear;слышать;to hear (heard, heard)
Она слышит;She hears;слышать;to hear (heard, heard)
Ты будешь слышать;You will hear;слышать;to hear (heard, heard)
Мы будем слышать? ;Will we hear?;слышать;to hear (heard, heard)
Ты не играл;You didn't play;играть;to play (played)
Она играла;She played;играть;to play (played)
Ты играл? ;Did you play?;играть;to play (played)
Я не играю;I don't play;играть;to play (played)
Она играет;She plays;играть;to play (played)
Он играл? ;Did he play?;играть;to play (played)
Они не будут играть;They won't play;играть;to play (played)
Мы будем играть;We will play;играть;to play (played)
Ты будешь играть? ;Will you play?;играть;to play (played)
Я побегу? (Я буду бежать?) ;Will I run?;бежать;to run (ran, run)
Ты побежишь (Ты будешь бежать);You will run;бежать;to run (ran, run)
Мы не побежим (Мы не будем бежать);We won't run;бежать;to run (ran, run)
Они бегут? ;Do they run?;бежать;to run (ran, run)
Он бежит;He runs;бежать;to run (ran, run)
Она не бежит;She doesn't run;бежать;to run (ran, run)
Ты бежал? ;Did you run?;бежать;to run (ran, run)
Я бежал;I ran;бежать;to run (ran, run)
Он не бежал;He didn't run;бежать;to run (ran, run)
Мы будем двигаться? ;Will we move?;двигаться;to move (moved)
Ты будешь двигаться;You will move;двигаться;to move (moved)
Она двигается;She moves;двигаться;to move (moved)
Я не двигаюсь;I don't move;двигаться;to move (moved)
Они не будут двигаться;They won't move;двигаться;to move (moved)
Он двигается? ;Does he move?;двигаться;to move (moved)
Ты двигаешься? ;Do you move?;двигаться;to move (moved)
Она двигалась;She moved;двигаться;to move (moved)
Ты не двигался;You didn't move;двигаться;to move (moved)
Ты будешь жить? ;Will you live?;жить;to live (lived)
Мы будем жить;We will live;жить;to live (lived)
Они не будут жить;They won't live;жить;to live (lived)
Он жил? ;Did he live?;жить;to live (lived)
Она живет;She lives;жить;to live (lived)
Я не живу;I don't live;жить;to live (lived)
Ты жил? ;Did you live?;жить;to live (lived)
Она жила;She lived;жить;to live (lived)
Ты не жила;You didn't live;жить;to live (lived)
Он не верил;He didn't believe;верить;to believe (believed)
Я верил;I believed;верить;to believe (believed)
Ты верил? ;Did you believe?;верить;to believe (believed)
Она не верит;She doesn't believe;верить;to believe (believed)
Он верит;He believes;верить;to believe (believed)
Они верят? ;Do they believe?;верить;to believe (believed)
Мы не будем верить;We won't believe;верить;to believe (believed)
Ты будешь верить;You will believe;верить;to believe (believed)
Я буду верить? ;Will I believe?;верить;to believe (believed)
Ты не приносил;You didn't bring;приносить;to bring (brought, brought)
Она приносила;She brought;приносить;to bring (brought, brought)
Ты приносишь? ;Do you bring;приносить;to bring (brought, brought)
Он приносит? ;Does he bring?;приносить;to bring (brought, brought)
Они не будут приносить;They won't bring;приносить;to bring (brought, brought)
Я не приношу;I don't bring;приносить;to bring (brought, brought)
Она приносит;She brings;приносить;to bring (brought, brought)
Ты будешь приносить;You will bring;приносить;to bring (brought, brought)
Мы будем приносить?  ;Will we bring?;приносить;to bring (brought, brought)
Это не случилось;It didn't happen;случаться;to happen (happened)
Это случилось;It happened;случаться;to happen (happened)
Это случилось? ;Did it happen?;случаться;to happen (happened)
Это случается;It happens;случаться;to happen (happened)
Это не случается;It doesn`t happen;случаться;to happen (happened)
Это случается? ;Does this happen?;случаться;to happen (happened)
Это не случится;It won't happen;случаться;to happen (happened)
Это случится;It will happen;случаться;to happen (happened)
Это случится?;Will it happen?;случаться;to happen (happened)
Я буду писать;I will write;писать;to write (wrote, written)
Ты будешь писать?;Will you write?;писать;to write (wrote, written)
Мы не будем писать;We won't write;писать;to write (wrote, written)
Они пишут? ;Do they write?;писать;to write (wrote, written)
Он пишет;He writes;писать;to write (wrote, written)
Она не пишет;She doesn’t write;писать;to write (wrote, written)
Ты писал? ;Did you write?;писать;to write (wrote, written)
Я писал;I wrote;писать;to write (wrote, written)
Он не писал;He didn't write;писать;to write (wrote, written)
Мы будем сидеть? ;Will we sit?;сидеть;to sit (sat, sat)
Ты будешь сидеть;You will sit;сидеть;to sit (sat, sat)
Она сидит;She sits;сидеть;to sit (sat, sat)
Я не сижу;I don't sit;сидеть;to sit (sat, sat)
Они не будут сидеть;They won't sit;сидеть;to sit (sat, sat)
Он сидит? ;Does he sit?;сидеть;to sit (sat, sat)
Ты сидишь? ;Do you sit?;сидеть;to sit (sat, sat)
Она сидела;She sat;сидеть;to sit (sat, sat)
Ты не сидел;You didn't sit;сидеть;to sit (sat, sat)
Ты будешь стоять? ;Will you stand?;стоять;to stand (stood, stood)
Мы будем стоять;We will stand;стоять;to stand (stood, stood)
Они не будут стоять;They won't stand;стоять;to stand (stood, stood)
Он стоял? ;Did he stand?;стоять;to stand (stood, stood)
Она стоит;She stands;стоять;to stand (stood, stood)
Я не стою;I don't stand;стоять;to stand (stood, stood)
Ты стоял? ;Did you stand?;стоять;to stand (stood, stood)
Она стояла;She stood;стоять;to stand (stood, stood)
Ты не стоял;You didn't stand;стоять;to stand (stood, stood)
Он не терял;He didn't lose;терять;to lose (lost, lost)
Я терял;I lost;терять;to lose (lost, lost)
Ты терял? ;Did you lose?;терять;to lose (lost, lost)
Она не теряет;She doesn't lose;терять;to lose (lost, lost)
Он теряет;He loses;терять;to lose (lost, lost)
Они теряют? ;Do they lose?;терять;to lose (lost, lost)
Мы не потеряем (Мы не будем терять);We won't lose;терять;to lose (lost, lost)
Ты потеряешь (Ты будешь терять);You will lose;терять;to lose (lost, lost)
Я потеряю? (Я буду терять?) ;Will I lose?;терять;to lose (lost, lost)
Ты не платил;You didn't pay;платить;to pay (paid, paid)
Она платила;She paid;платить;to pay (paid, paid)
Ты платишь? ;Do you pay?;платить;to pay (paid, paid)
Он платит? ;Does he pay?;платить;to pay (paid, paid)
Они не будут платить;They won't pay;платить;to pay (paid, paid)
Я не плачу;I don't pay;платить;to pay (paid, paid)
Она платит;She pays;платить;to pay (paid, paid)
Ты заплатишь (Ты будешь платить);You will pay;платить;to pay (paid, paid)
Мы заплатим? (Мы будем платить?) ;Will we pay?;платить;to pay (paid, paid)
Ты не встречал;You didn't meet;встречать;to meet (met, met)
Она встречала;She met;встречать;to meet (met, met)
Ты встречал? ;Did you meet?;встречать;to meet (met, met)
Я не встречаю;I don't meet;встречать;to meet (met, met)
Она встречает;She meets;встречать;to meet (met, met)
Он встречал? ;Did he meet?;встречать;to meet (met, met)
Они не встретят (Они не будут встречать);They won't meet;встречать;to meet (met, met)
Мы встретим (Мы будем встречать);We will meet;встречать;to meet (met, met)
Ты встретишь? (Ты будешь встречать?) ;Will you meet?;встречать;to meet (met, met)
Это включает (Это будет включать) ;This will include;включать;to include (included)
Это будет включать? ;Will this include?;включать;to include (included)
Это не будет включать;This won't include;включать;to include (included)
Это включает? ;Does this include?;включать;to include (included)
Это включает;This includes;включать;to include (included)
Это не включает;This doesn`t include;включать;to include (included)
Это включало?;Did this include?;включать;to include (included)
Это включало ;This included;включать;to include (included)
Это не включало;This didn't include;включать;to include (included)
Мы продолжим? (Мы будем продолжать?) ;Will we continue?;продолжать;to continue (continued)
Я продолжу (Я буду продолжать);I will continue;продолжать;to continue (continued)
Она продолжает;She continues;продолжать;to continue (continued)
Он не продолжает;He doesn't continue;продолжать;to continue (continued)
Они не продолжат (Они не будут продолжать);They won't continue;продолжать;to continue (continued)
Он продолжает? ;Does he continue?;продолжать;to continue (continued)
Ты продолжаешь? ;Do you continue?;продолжать;to continue (continued)
Она продолжала;She continued;продолжать;to continue (continued)
Ты не продолжал;You didn't continue;продолжать;to continue (continued)
Ты установишь? (Ты будешь устанавливать?) ;Will you set?;устанавливать;to set (set, set)
Мы установим (Мы будем устанавливать);We will set;устанавливать;to set (set, set)
Они не установят (Они не будут устанавливать);They won't set;устанавливать;to set (set, set)
Он устанавливал? ;Did he set?;устанавливать;to set (set, set)
Она устанавливает;She sets;устанавливать;to set (set, set)
Я не устанавливаю;I don't set;устанавливать;to set (set, set)
Ты устанавливал? ;Did you set?;устанавливать;to set (set, set)
Она устанавливала;She set;устанавливать;to set (set, set)
Ты не устанавливал;You didn't set;устанавливать;to set (set, set)
Он не учился;He didn't learn;учиться;to learn (learned)
Я учился;I learned;учиться;to learn (learned)
Ты учился? ;Did you learn?;учиться;to learn (learned)
Она не учится;She doesn't learn;учиться;to learn (learned)
Он учится;He learns;учиться;to learn (learned)
Они учатся? ;Do they learn?;учиться;to learn (learned)
Мы не выучимся (Мы не будем учиться);We won't learn;учиться;to learn (learned)
Ты выучишься (Ты будешь учиться);You will learn;учиться;to learn (learned)
Я выучусь? (Я буду учиться?) ;Will I learn?;учиться;to learn (learned)
Ты не менял;You didn't change;менять;to change (changed)
Она меняла;She changed;менять;to change (changed)
Ты меняешь? ;Do you change?;менять;to change (changed)
Он меняет? ;Does he change?;менять;to change (changed)
